Date,Open,High,Low,Close,Volume,Return
1999-01-25,0.0405864,0.0419634,0.0376018,0.0414991,139413824,0.1036466339377371
1999-01-26,0.0419634,0.0428759,0.0378386,0.0382868,93919355,-0.07740649797224508
1999-01-27,0.0385123,0.0394331,0.0362297,0.0382868,67279765,0.0
1999-01-28,0.0382868,0.0385123,0.0378386,0.0380583,62320835,-0.00596811433705613
1999-01-29,0.0380583,0.0382868,0.0362297,0.0362297,67135680,-0.04804733790001148
1999-02-01,0.0362297,0.037377,0.0362297,0.036919,42340959,0.019025826876844176
1999-02-02,0.0362297,0.037377,0.0330168,0.0341571,72003214,-0.07480971857309238
1999-02-03,0.0337177,0.0353183,0.0334779,0.0348559,20961127,0.02045841128198811
1999-02-04,0.0353183,0.0378386,0.0348559,0.0366834,50256916,0.052430148124133824
1999-02-05,0.037377,0.0382868,0.0364567,0.0378386,37682947,0.03149108316023064
1999-02-08,0.0380583,0.0382868,0.0364567,0.0364567,42079279,-0.03652090722172596
1999-02-09,0.037377,0.0376018,0.0346193,0.0350837,23800379,-0.03766111578941589
1999-02-10,0.0350837,0.0359942,0.0341571,0.0348559,41045539,-0.006493043778164842
1999-02-11,0.0348559,0.0392015,0.0348559,0.0378386,36452934,0.0855723134390447
1999-02-12,0.0382868,0.0401271,0.0382868,0.0398945,30538831,0.05433340556997357
1999-02-16,0.0405864,0.04218,0.0359942,0.0401271,58225371,0.00583037762097538
1999-02-17,0.0392015,0.0396677,0.037377,0.0380583,18540590,-0.05155618023729591
1999-02-18,0.0392015,0.0396677,0.0376018,0.0385123,19809611,0.011929066721319659
1999-02-19,0.0382868,0.0405864,0.0378386,0.0398945,21052724,0.035889832598935856
1999-02-22,0.0405864,0.0410388,0.0380583,0.0401271,56511247,0.00583037762097538
1999-02-23,0.0410388,0.0428759,0.0387442,0.0419634,38206287,0.04576209095598727
1999-02-24,0.0481421,0.0502051,0.044251,0.0454024,167518929,0.08195236801593775
1999-02-25,0.0472315,0.0488351,0.0433452,0.0440182,40705352,-0.03048737511673394
1999-02-26,0.0444845,0.0458586,0.0414991,0.0419634,47757932,-0.04668069116865303
1999-03-01,0.0428759,0.0440182,0.0401271,0.04218,25265792,0.005161640858462491
